product,name,description,availability,sku,price,collection,keshi,metal,type
pearl-accessories-pearl-cufflinks-white-gold,Pearl Cufflinks - White Gold,"Paspaley cufflinks featuring two, 11-12mm baroque keshi pearls set in 18kt white gold.",In stock,C00A01WKB12,3280,Other,TRUE,White gold,Accessory
pearl-bracelets-kimberley-bracelet-button-pearl,Kimberley Bracelet - Button Pearl,Paspaley bracelet featuring a 12-13mm button pearl and sandalwood.,In stock,CSRB01SPB12,1480,Kimberley,FALSE,Other,Bracelet
pearl-bracelets-kimberley-bracelet-circle-pearl,Kimberley Bracelet - Circlé Pearl,"Paspaley bracelet featuring a 12-13mm circle pearl, with sandalwood.",In stock,CSRB01SPC13,980,Kimberley,FALSE,Other,Bracelet
pearl-bracelets-kimberley-bracelet-petite-circle-pearl,Kimberley Bracelet - Petite Circlé Pearl,"Paspaley bracelet featuring a 10-11mm circle pearl, with sandalwood.",In stock,CSRB01SPC11,680,Kimberley,FALSE,Other,Bracelet
pearl-bracelets-kimberley-bracelet-petite-triangle-pearl,Kimberley Bracelet - Petite Triangle pearl,"Paspaley bracelet featuring a 10-11mm triangle pearl, with sandalwood.",In stock,CSRB01SPT11,1280,Kimberley,FALSE,Other,Bracelet
pearl-bracelets-kimberley-onyx-bracelet-circle-pearl,Kimberley Onyx Bracelet - Circlé Pearl,"Paspaley bracelet featuring two, 12mm circle pearls, with onyx and sandalwood beads.",In stock,CSRB02XPC12,1680,Kimberley,FALSE,Other,Bracelet
pearl-bracelets-kimberley-onyx-bracelet-round-pearl,Kimberley Onyx Bracelet - Round Pearl,"Paspaley bracelet featuring two, 12mm round pearls, with onyx and sandalwood beads.",In stock,CSRB02XPR12,5980,Kimberley,FALSE,Other,Bracelet
pearl-bracelets-maxima-bracelet-yellow-gold,Maxima Bracelet - Yellow Gold,Paspaley bracelet featuring mother-of-pearl set in 18kt yellow gold with 18 white diamonds (0.30ct).,In stock,W15B02Y,5480,Maxima,FALSE,Yellow gold,Bracelet
pearl-bracelets-maxima-chain-bracelet-yellow-gold,Maxima Chain Bracelet - Yellow Gold,"Paspaley bracelet featuring mother-of-pearl set in 18kt yellow gold, with two white diamonds (0.04ct).",In stock,W15B01Y,2680,Maxima,FALSE,Yellow gold,Bracelet
pearl-bracelets-maxima-diamond-bracelet-white-gold,Maxima Diamond Bracelet - White Gold,Paspaley bracelet featuring mother-of-pearl set in 18kt white gold with 314 white diamonds (2.10ct).,In stock,W15B04W,16800,Maxima,FALSE,White gold,Bracelet
pearl-bracelets-maxima-diamond-bracelet-yellow-gold,Maxima Diamond Bracelet - Yellow Gold,"Paspaley mother-of-pearl bracelet set in 18kt yellow gold, with 387 white diamonds (1.90ct).",In stock,W17B03Y,14800,Maxima,FALSE,Yellow gold,Bracelet
pearl-bracelets-monsoon-wildflower-cuff-yellow-gold,Monsoon Wildflower Cuff - Yellow Gold,"Paspaley Monsoon Unique Bracelet in 750 Yellow Gold with 71, 5-12mm Keshi Baroque Australian South Sea Pearls, 95 White Diamonds (3.25ct) and 456 Yellow Diamonds (8.01ct)",Out of stock,Y18B07YKQ12,218000,Monsoon,TRUE,Yellow gold,Bracelet
pearl-bracelets-odyssey-pod-bracelet-yellow-gold,Odyssey Pod Bracelet - Yellow Gold,"Paspaley bracelet featuring three, 11mm oval/drop pearls set in 18kt yellow gold, with 72 white diamonds (0.17ct).",In stock,S12B04YPO11,7280,Other,FALSE,Yellow gold,Bracelet
pearl-bracelets-paradis-bracelet-white-gold,Paradis Bracelet - White Gold,"Paspaley bracelet featuring three, 10mm round pearls set in 18kt white gold, with 33 white diamonds (0.34ct).",Out of stock,J07B01WPR10,7480,Other,FALSE,White gold,Bracelet
pearl-bracelets-paradis-bracelet-yellow-gold,Paradis Bracelet - Yellow Gold,"Paspaley bracelet featuring three, 10mm round pearls set in 18kt yellow gold, with 33 white diamonds (0.34ct).",In stock,J07B01YPR10,7480,Other,FALSE,Yellow gold,Bracelet
pearl-bracelets-rockpool-tanzanite-bracelet-platinum,Rockpool Tanzanite Bracelet - Platinum,"Paspaley Australian South Sea pearl  bracelet in platinum with 28, 4- 8mm Keshi Baroque pearls, four tanzanites (15.46ct), 602 white diamonds (6.83ct) and 50 amethysts (1.20ct).",Out of stock,X17B12PKQ08,128000,Rockpool,TRUE,Platinum,Bracelet
pearl-bracelets-touchstone-black-diamond-bracelet-white-gold,Touchstone Black Diamond Bracelet - White Gold,"Paspaley bracelet featuring five, 11mm oval pearls set in 18kt white gold, with 100 black diamonds (0.80ct) and 12 white diamonds (0.03ct).",In stock,V16B02WPO11,9680,Touchstone,FALSE,White gold,Bracelet
pearl-bracelets-touchstone-ruby-bracelet-yellow-gold,Touchstone Ruby Bracelet - Yellow Gold,"Paspaley bracelet featuring five, 12mm button pearls set in 18kt yellow gold, with 100 rubies (1.00ct) and 12 white diamonds (0.02ct).",In stock,V14B02YPB12,7280,Touchstone,FALSE,Yellow gold,Bracelet
pearl-clasps-maxima-clasp-white-gold,Maxima Clasp - White Gold,"Paspaley clasp featuring mother-of-pearl set in 18kt white gold, with 102 white diamonds (0.75ct).",In stock,W15L02W,6980,Maxima,FALSE,White gold,Clasp
pearl-clasps-maxima-clasp-yellow-gold,Maxima Clasp - Yellow Gold,Paspaley clasp featuring mother-of-pearl set in 18kt yellow gold with 24 white diamonds (0.36ct).,In stock,W15L01Y,4680,Maxima,FALSE,Yellow gold,Clasp
pearl-clasps-monsoon-budding-flower-clasp-white-gold,Monsoon Budding Flower Clasp - White Gold,Paspaley Monsoon clasp set in 18kt white gold with 66 white diamonds (0.44ct) and 162 tsavorites (2.61ct).,In stock,Y18L06W,14800,Monsoon,FALSE,White gold,Clasp
pearl-clasps-monsoon-budding-flower-clasp-yellow-gold,Monsoon Budding Flower Clasp - Yellow Gold,Paspaley Monsoon clasp set in 18kt yellow gold with 66 white diamonds and 164 yellow diamonds (2.95ct).,Out of stock,Y18L07Y,32800,Monsoon,FALSE,Yellow gold,Clasp
pearl-clasps-rockpool-mother-of-pearl-clasp-white-gold,Rockpool Mother-of-Pearl Clasp - White Gold,Paspaley clasp featuring mother-of-pearl set in 18kt white gold with 218 white diamonds (1.34ct). Bracelet sold separately.,In stock,X17L11W,11800,Rockpool,FALSE,White gold,Clasp
pearl-clasps-rockpool-mother-of-pearl-clasp-yellow-gold,Rockpool Mother-of-Pearl Clasp - Yellow Gold,Paspaley clasp featuring mother-of-pearl set in 18kt yellow gold with 218 white diamonds (1.34ct). Bracelet sold separately.,In stock,X17L11Y,11800,Rockpool,FALSE,Yellow gold,Clasp
pearl-clasps-rockpool-pave-clasp-white-gold,Rockpool Pave Clasp - White Gold,Paspaley clasp featuring 504 white diamonds (2.82ct) set in 18kt white gold.,In stock,X17L10W,22800,Rockpool,FALSE,White gold,Clasp
pearl-clasps-rockpool-pave-clasp-yellow-gold,Rockpool Pave Clasp - Yellow Gold,Paspaley clasp featuring 504 white diamonds (2.82ct) set in 18kt yellow gold.,In stock,X17L10Y,22800,Rockpool,FALSE,Yellow gold,Clasp
pearl-clasps-touchstone-black-diamond-clasp-white-gold,Touchstone Black Diamond Clasp - White Gold,"Paspaley clasp featuring 120 black diamonds (2.40ct) set in 18kt white gold, with 14 white diamonds (0.04ct).",In stock,V16L04W,8680,Touchstone,FALSE,White gold,Clasp
pearl-earrings-button-pearl-studs-11mm,Button Pearl Studs - 11mm,"Paspaley stud earrings featuring two, 11mm button pearls set in 18kt yellow gold.",In stock,C00E41YPB11,2580,Other,FALSE,Yellow gold,Earrings
pearl-earrings-dew-drop-earrings-platinum,Dew Drop Earrings - Platinum,"Paspaley earrings featuring two, 11mm round pearls set in 950 platinum, with four white diamonds (0.40ct).",In stock,K08E08PPR11,6980,Other,FALSE,Platinum,Earrings
pearl-earrings-dew-drop-earrings-yellow-gold,Dew Drop Earrings - Yellow Gold,"Paspaley earrings feturing two, 11mm round pearls set in 18kt yellow gold with four white diamonds (0.40ct).",In stock,K08E08YPR11,6880,Other,FALSE,Yellow gold,Earrings
pearl-earrings-diamond-shepherd-hook-earrings-13mm-round-yellow-gold,Diamond Shepherd Hook Earrings 13mm Round - Yellow Gold,"Paspaley Shepherd Hook earrings featuring two 13mm round pearls set in 18kt yellow gold, with 40 white diamonds (0.21ct).",In stock,C18E43YPR13,9180,Other,FALSE,Yellow gold,Earrings
pearl-earrings-diamond-shepherd-hook-earrings-round-white-gold,Diamond Shepherd Hook Earrings Round - White Gold,"Paspaley Shepherd Hook earrings featuring two 10mm round pearls set in 18kt white gold, with 40 white diamonds (0.21ct).",In stock,C18E43WPR10,5480,Other,FALSE,White gold,Earrings
pearl-earrings-diamond-shepherd-hook-earrings-round-yellow-gold,Diamond Shepherd Hook Earrings Round - Yellow Gold,"Paspaley Shepherd Hook earrings featuring two 10mm round pearls set in 18kt yellow gold, with 40 white diamonds (0.21ct).",In stock,C18E43YPR10,5480,Other,FALSE,Yellow gold,Earrings
pearl-earrings-diamond-touchstone-earrings-12mm-oval-yellow-gold,Diamond Touchstone Earrings 12mm Oval  - Yellow Gold,"Paspaley earrings featuring two, 12mm oval pearls set in 18kt yellow gold, with 70 white diamonds (0.83ct)",In stock,DC16E10YPO12,8960,Touchstone,FALSE,Yellow gold,Earrings
pearl-earrings-diamond-touchstone-earrings-14mm-baroque-white-gold,Diamond Touchstone Earrings 14mm Baroque  - White Gold,"Paspaley earrings featuring two, 14mm baroque pearls set in 18kt white gold with, 60 white diamonds (0.93ct)",In stock,DC16E10WPQ14,9960,Touchstone,FALSE,White gold,Earrings
pearl-earrings-dolce-earrings-white-gold,Dolce Earrings - White Gold,"Paspaley earrings featuring two, 13mm round pearls set in 18kt white gold.",In stock,G06E09WPR13,6280,Other,FALSE,White gold,Earrings
pearl-earrings-grace-earrings-white-gold,Grace Earrings - White Gold,"Paspaley shepherd hook earrings featuring two, 11mm round pearls set in 18kt white gold, with two white diamonds (0.20ct).",In stock,C00E44WPR11,5980,Other,FALSE,White gold,Earrings
pearl-earrings-grace-earrings-yellow-gold,Grace Earrings - Yellow Gold,"Paspaley shepherd hook earrings featuring two, 11mm round pearls set in 18kt yellow gold, with two white diamonds (0.20ct).",In stock,C00E44YPR11,5980,Other,FALSE,Yellow gold,Earrings
pearl-earrings-keshi-pearl-studs-7mm,Keshi Pearl Studs - 7mm,"Paspaley stud earrings featuring two, 7mm baroque keshi pearls set in 18kt yellow gold.",In stock,C00E40YKQ07,980,Other,TRUE,Yellow gold,Earrings
pearl-earrings-keshi-pearl-studs-9mm,Keshi Pearl Studs - 9mm,"Paspaley stud earrings featuring two, 9mm baroque keshi pearls set in 18kt yellow gold.",In stock,C00E40YKQ09,1680,Other,TRUE,Yellow gold,Earrings
pearl-earrings-lavalier-earrings-circle-white-gold,Lavalier Earrings Circlé - White Gold,Paspaley earrings featuring two loose 12mm circlé pearls in 18kt white gold.,In stock,DH14E20WC,5260,Lavalier,FALSE,White gold,Earrings
pearl-earrings-lavalier-earrings-circle-yellow-gold,Lavalier Earrings Circlé - Yellow Gold,Paspaley earrings featuring two loose 12mm circlé pearls in 18kt yellow gold.,In stock,DH14E20YC,5260,Lavalier,FALSE,Yellow gold,Earrings
pearl-earrings-lavalier-opal-hero-earrings-rose-gold,Lavalier Opal Hero Earrings - Rose Gold,"Paspaley Lavalier earrings featuring two round pearls and combining beautiful rose gold, opals and white diamonds, complete with a rare Papsaley keshi pearl.",In stock,DH15E30RPR,14760,Lavalier,TRUE,Rose gold,Earrings
pearl-earrings-maxima-black-studs-white-gold,Maxima Black Studs - White Gold,"Paspaley studs featuring black mother-of-pearl set in 18kt white gold, with 68 white diamonds (0.15ct).",Out of stock,W17E01W,2680,Maxima,FALSE,White gold,Earrings
pearl-earrings-maxima-irukandji-earrings-white-gold,Maxima Irukandji Earrings - White Gold,Paspaley earrings featuring mother-of-pearl set in 18kt white gold with 16 white diamonds (0.07ct).,In stock,W15E04W,2280,Maxima,FALSE,White gold,Earrings
pearl-earrings-maxima-pearl-earrings-white-gold,Maxima Pearl Earrings - White Gold,"Paspaley earrings featuring two, 12mm round pearls set in 18kt white gold, with mother-of-pearl and 66 white diamonds (0.40ct).",In stock,W15E05WPR12,9980,Maxima,FALSE,White gold,Earrings
pearl-earrings-maxima-pearls-my-way-earrings-yellow-gold,Maxima Pearls My Way Earrings - Yellow Gold,"Paspaley earrings featuring two 13mm round pearls set in 18kt yellow gold, with mother-of-pearl and 88 white diamonds (0.35ct).",In stock,DW17E03YPR13,10660,Maxima,FALSE,Yellow gold,Earrings
pearl-earrings-maxima-pearls-my-way-rose-gold,Maxima Pearls My Way – Rose Gold,"Paspaley earrings featuring two, 13mm round pearls, with two Australian opals and 14 white diamonds (0.10ct), set in 18kt rose gold.",In stock,DW18E05RPR13,12660,Maxima,FALSE,Rose gold,Earrings
pearl-earrings-maxima-stud-earrings-yellow-gold,Maxima Stud Earrings - Yellow Gold,Paspaley earrings featuring mother-of-pearl set in 18kt yellow gold.,In stock,W15E01Y,980,Maxima,FALSE,Yellow gold,Earrings
pearl-earrings-maxima-studs-rose-gold,Maxima Studs – Rose Gold,"Paspaley earrings with two Australian opals (1.30ct) and 14 white diamonds (0.07ct), set in 18kt rose gold.",In stock,W18E06R,3980,Maxima,FALSE,Rose gold,Earrings
pearl-earrings-monsoon-budding-flower-earrings-white-gold,Monsoon Budding Flower Earrings - White Gold,"Paspaley Monsoon earrings featuring 2, 10mm oval drop Australian South Sea pearls set in 18kt white gold, with 64 white diamonds (0.44ct) and 396 tsavorites (4.92ct).",Out of stock,Y18E06WPD10,26800,Monsoon,FALSE,White gold,Earrings
pearl-earrings-monsoon-budding-flower-earrings-yellow-gold,Monsoon Budding Flower Earrings - Yellow Gold,"Paspaley Monsoon earrings featuring 2, 10mm oval drop Australian South Sea pearls set in 18kt yellow gold, with 393 yellow diamonds and 64 white diamonds (5.36ct).",Out of stock,Y18E07YPD10,48800,Monsoon,FALSE,Yellow gold,Earrings
pearl-earrings-monsoon-chandelier-earrings-white-gold,Monsoon Chandelier Earrings - White Gold,"Paspaley Monsoon Earrings in 750 White Gold with 4, 10mm Round, 2, 10mm Oval Australian South Sea Pearls and 308 White Diamonds (3.03ct)",Out of stock,Y18E02WPR10,32800,Monsoon,FALSE,White gold,Earrings
pearl-earrings-monsoon-chandelier-earrings-yellow-gold,Monsoon Chandelier Earrings - Yellow Gold,"Paspaley Monsoon Earrings in 750 Yellow Gold with 4, 10mm Round, 2, 10mm Oval Australian South Sea Pearls and 308 White Diamonds (3.03ct).",Out of stock,Y18E02YPR10,32800,Monsoon,FALSE,Yellow gold,Earrings
pearl-earrings-monsoon-cicada-earrings-white-gold,Monsoon Cicada Earrings - White Gold,"Paspaley Monsoon earrings featuring 2, 13mm oval drop Australian South Sea pearls set in 18kt white gold, with 4 emeralds and 574 white diamonds (3.25ct).",Out of stock,Y18E30WPD13,32800,Monsoon,FALSE,White gold,Earrings
pearl-earrings-monsoon-cicada-earrings-yellow-gold,Monsoon Cicada Earrings - Yellow Gold,"Paspaley Monsoon earrings featuring 2, 13mm oval drop Australian South Sea pearls set in 18kt yellow gold, with 4 emeralds and 574 white diamonds (3.25ct).",Out of stock,Y18E30YPD13,32800,Monsoon,FALSE,Yellow gold,Earrings
pearl-earrings-monsoon-double-petal-earrings-white-gold,Monsoon Double Petal Earrings - White Gold,"Paspaley Monsoon earrings featuring 4, 8-9mm keshi baroque Australian South Sea pearls set in 18kt white gold, with 247 white diamonds (1.71ct).",In stock,DY18E03WKQ09,22780,Monsoon,TRUE,White gold,Earrings
pearl-earrings-monsoon-double-petal-earrings-yellow-gold,Monsoon Double Petal Earrings - Yellow Gold,"Paspaley Monsoon earrings featuring 4, 8-9mm keshi baroque Australian South Sea pearls set in 18kt yellow gold, with 247 white diamonds (1.71ct).",Out of stock,DY18E03YKQ09,22780,Monsoon,TRUE,Yellow gold,Earrings
pearl-earrings-monsoon-earring-enhancer-l-r-white-gold,Monsoon Earring Enhancer L+R - White Gold,none,Out of stock,DY18AE01WLR,3360,Monsoon,FALSE,White gold,Earrings
pearl-earrings-monsoon-earring-enhancer-l-r-yellow-gold,Monsoon Earring Enhancer L+R - Yellow Gold,none,In stock,DY18AE01YLR,3360,Monsoon,FALSE,Yellow gold,Earrings
pearl-earrings-monsoon-earring-enhancer-left-white-gold,Monsoon Earring Enhancer Left - White Gold,none,Out of stock,Y18AE01WL,1680,Monsoon,FALSE,White gold,Earrings
pearl-earrings-monsoon-earring-enhancer-left-yellow-gold,Monsoon Earring Enhancer Left - Yellow Gold,none,Out of stock,Y18AE01YL,1680,Monsoon,FALSE,Yellow gold,Earrings
pearl-earrings-monsoon-earring-enhancer-right-white-gold,Monsoon Earring Enhancer Right - White Gold,none,Out of stock,Y18AE01WR,1680,Monsoon,FALSE,White gold,Earrings
pearl-earrings-monsoon-earring-enhancer-right-yellow-gold,Monsoon Earring Enhancer Right - Yellow Gold,none,In stock,Y18AE01YR,1680,Monsoon,FALSE,Yellow gold,Earrings
pearl-earrings-monsoon-earring-enhancer-white-gold,Monsoon Earring Enhancer - White Gold,Paspaley Monsoon Earring Accessory in 750 White Gold with 33 White Diamonds (0.33ct).,Out of stock,DY18AE01W,1680,Monsoon,FALSE,White gold,Earrings
pearl-earrings-monsoon-earring-enhancer-yellow-gold,Monsoon Earring Enhancer - Yellow Gold,Paspaley Monsoon Earring Accessory in 750 Yellow Gold with 33 White Diamonds (0.33ct).,In stock,DY18AE01Y,1680,Monsoon,FALSE,Yellow gold,Earrings
pearl-earrings-monsoon-single-petal-earrings-white-gold,Monsoon Single Petal Earrings - White Gold,"Paspaley Monsoon earrings featuring 2, 9mm keshi baroque Australian South Sea pearls set in 18kt white gold, with 151 white diamonds (0.96ct).",In stock,DY18E04WKQ09,14960,Monsoon,TRUE,White gold,Earrings
pearl-earrings-monsoon-single-petal-earrings-yellow-gold,Monsoon Single Petal Earrings - Yellow Gold,"Paspaley Monsoon earrings featuring 2, 9mm keshi baroque Australian South Sea pearls set in 18kt yellow gold, with 151 white diamonds (0.96ct).",Out of stock,DY18E04YKQ09,14960,Monsoon,TRUE,Yellow gold,Earrings
pearl-earrings-monsoon-tsavorite-chandelier-earrings,Monsoon Tsavorite Chandelier Earrings,"Paspaley Monsoon Earrings in 750 White Gold with 4, 10mm Round, 2, 10mm Oval Australian South Sea Pearls, 106 White Diamonds (0.92ct) and 200 Tsavorites (2.36ct)",Out of stock,Y18E05WPR10,29800,Monsoon,FALSE,Other,Earrings
pearl-earrings-pearls-my-way-10mm-circle-earrings-yellow-gold,Pearls My Way 10mm Circle Earrings - Yellow Gold,"Paspaley earrings featuring two 10mm circle pearls set in 18kt yellow gold, with six white diamonds (0.02ct).",In stock,DC16E02YPC10,2460,Pearls My Way,FALSE,Yellow gold,Earrings
pearl-earrings-pearls-my-way-10mm-oval-earrings-white-gold,Pearls My Way 10mm Oval Earrings - White Gold,"Paspaley earrings featuring two, 10mm oval pearls set in 18kt white gold with 12 white diamonds (0.04ct)",In stock,DC16E02WPO10,4160,Pearls My Way,FALSE,White gold,Earrings
pearl-earrings-pearls-my-way-diamond-earrings-10mm-oval-yellow-gold,Pearls My Way Diamond Earrings 10mm Oval - Yellow Gold,"Paspaley earrings featuring two, 10mm oval pearls set in 18kt yellow gold with 30 white diamonds (0.23ct)",In stock,DC16E05YPO10,5760,Pearls My Way,FALSE,Yellow gold,Earrings
pearl-earrings-pearls-my-way-diamond-earrings-12mm-oval-white-gold,Pearls My Way Diamond Earrings 12mm Oval  - White Gold,"Paspaley earrings featuring two 12mm oval pearls set in 18kt white gold, with 30 white diamonds (0.23ct).",In stock,DC16E05WPO12,6260,Pearls My Way,FALSE,White gold,Earrings
pearl-earrings-pearls-my-way-pave-earrings-13mm-round-white-gold,Pearls My Way Pave Earrings 13mm Round - White Gold,"Paspaley earrings featuring two, 13mm round pearls set in 18kt white gold with 72 white diamonds (0.65ct)",In stock,DC16E06WPR13,11960,Pearls My Way,FALSE,White gold,Earrings
pearl-earrings-rockpool-clam-shell-earrings-white-gold,Rockpool Clam Shell Earrings - White Gold,"Paspaley earrings featuring two, 5mm keshi baroque pearls set in 18kt white gold, with 278 white diamonds (1.76ct) and mother-of-pearl.",In stock,DC16E06WX17AE11,14560,Rockpool,TRUE,White gold,Earrings
pearl-earrings-rockpool-clam-shell-earrings-yellow-gold,Rockpool Clam Shell Earrings - Yellow Gold,"Paspaley earrings featuring two, 5mm keshi baroque pearls set in 18kt yellow gold, with 278 white diamonds (1.76ct) and mother-of-pearl.",In stock,DC16E06YX17AE11,14560,Rockpool,TRUE,Yellow gold,Earrings
pearl-earrings-rockpool-cluster-earrings-platinum,Rockpool Cluster Earrings - Platinum,"Paspaley earrings featuring six, 6mm keshi baroque pearls set in platinum with and two white diamonds (0.37ct).",In stock,X17E13PKQ06,8880,Rockpool,TRUE,Platinum,Earrings
pearl-earrings-rockpool-paraiba-earrings-platinum,Rockpool Paraiba Earrings - Platinum,"Paspaley earrings featuring 14, 7-9mm keshi baroque pearls set in platinum, with 2 Paraiba tourmalines (7.86ct) and 197 white diamonds (1.89ct).",Out of stock,X17E12PKQ09,68800,Rockpool,TRUE,Platinum,Earrings
pearl-earrings-rockpool-pave-shell-earrings-white-gold,Rockpool Pave Shell Earrings - White Gold,"Paspaley earrings featuring two, 12mm round pearls set in 18kt white gold with 724 white diamonds (2.70ct).",Out of stock,X17E10WPR12,29800,Rockpool,FALSE,White gold,Earrings
pearl-earrings-rockpool-pave-shell-earrings-yellow-gold,Rockpool Pave Shell Earrings - Yellow Gold,"Paspaley earrings featuring two, 12mm round pearls set in 18kt yellow gold with 724 white diamonds (2.70ct).",Out of stock,X17E10YPR12,29800,Rockpool,FALSE,Yellow gold,Earrings
pearl-earrings-round-pearl-studs-9mm,Round Pearl Studs - 9mm,"Paspaley stud earrings featuring two, 9mm round pearls set in 18kt yellow gold.",In stock,C00E40YPR09,2380,Other,FALSE,Yellow gold,Earrings
pearl-earrings-shepherd-hook-earrings-circle-white-gold,Shepherd Hook Earrings Circle - White Gold,Paspaley Shepherd Hook earrings featuring two 10-11mm circlé pearls set in 18kt white gold.,In stock,C18E42WPC11,1580,Other,FALSE,White gold,Earrings
pearl-earrings-shepherd-hook-earrings-circle-yellow-gold,Shepherd Hook Earrings Circle - Yellow Gold,Paspaley Shepherd Hook earrings featuring two 10-11mm circlé pearls set in 18kt yellow gold.,In stock,C18E42YPC11,1580,Other,FALSE,Yellow gold,Earrings
pearl-earrings-shepherd-hook-earrings-oval-white-gold,Shepherd Hook Earrings Oval - White Gold,Paspaley Shepherd Hook earrings featuring two 11mm oval pearls set in 18kt white gold.,In stock,C18E42WPO11,2980,Other,FALSE,White gold,Earrings
pearl-earrings-shepherd-hook-earrings-oval-yellow-gold,Shepherd Hook Earrings Oval - Yellow Gold,Paspaley Shepherd Hook earrings featuring two 11mm oval pearls set in 18kt yellow gold.,In stock,C18E42YPO11,2980,Other,FALSE,Yellow gold,Earrings
pearl-earrings-touchstone-black-diamond-earrings-white-gold,Touchstone Black Diamond Earrings - White Gold,"Paspaley earrings featuring two, 11mm oval pearls set in 18kt white gold, with 22 black diamonds (0.77ct) and two white diamonds (0.07ct).",In stock,V16E02WPO11,6280,Touchstone,FALSE,White gold,Earrings
