product,name,description,flowerydescription,availability,sku,price
grace-pendant-white-gold,Grace Pendant,"Paspaley Australian South Sea pearl pendant featuring one 12mm round pearl set in 750 white gold with one white diamond, total 0.25 carats. Chain available separately.A perfectly round pearl complemented by a single sparkling diamond creates a distinctive touch of glamour for a simply elegant look.",NA,NA,C00P28WPR12,"$4,580.00"
grace-pendant-yellow-gold,Grace Pendant,"Paspaley Australian South Sea pearl pendant featuring one 12mm round pearl set in 750 yellow gold with one white diamond, total 0.25 carats. Chain available separately.A perfectly round pearl complemented by a single sparkling diamond creates a distinctive touch of glamour for a simply elegant look.",NA,NA,C00P28YPR12,"$4,580.00"
halo-pendant-white-gold,Halo Pendant,"Paspaley Australian South Sea pearl pendant featuring one, 14mm round pearl set in 750 white gold with eighteen white diamonds, total 0.39 carats. Chain available separately.The clean uncomplicated style of this pendant works in balance with the bold volume of the pearl, while the removable channel set gold coin adds versatility and makes this pendant the perfect adornment for minimalist style.",NA,NA,C12P01WPR14,"$6,450.00"
halo-pendant-yellow-gold,Halo Pendant,"Paspaley Australian South Sea pearl pendant featuring one, 14mm round pearl set in 750 yellow gold with eighteen white diamonds, total 0.39 carats. Chain available separately.The clean uncomplicated style of this pendant works in balance with the bold volume of the pearl, while the removable channel set gold coin adds versatility and makes this pendant the perfect adornment for minimalist style.",NA,NA,C12P01YPR14,"$6,450.00"
julia-ring-white-gold,Julia Ring,"Paspaley Australian South Sea pearl ring featuring one 10mm keshi pearl set in 750 white gold with white diamonds. Ring size 54, resize options available.This smart and tasteful design is the epitome of understated style for everyday wear.",NA,NA,C00R02WKQ10,"$1,680.00"
julia-ring-yellow-gold,Julia Ring,"Paspaley Australian South Sea pearl ring featuring one 9mm keshi pearl set in 750 yellow gold with white diamonds. Ring size 55, resize options available.This smart and tasteful design is the epitome of understated style for everyday wear.",NA,NA,C00R02YKQ09,"$1,680.00"
keshi-baroque-pearl-strand,Keshi Baroque Pearl Strand,"Paspaley Australian South Sea pearl strand featuring thirty-eight 8-11mm keshi baroque pearls. 41.5cm choker length strand identified by the Paspaley Strand Signature, a brilliant cut diamond set seamlessly in the end pearl.  GIA certificate available.The ultimate icon of purity, the iridescent allure of a meticulously matched keshi pearl strand is the perfect choice for understated elegance. A unique clasp mechanism enables you to instantaneously personalise this strand with any one of Paspaley's jewelled interchangeable clasps.",NA,NA,SCKQ0811001,"Starting from 
          
            .rows-of-two .righty{
              width: 100%; margin-top: 15px;
            }
          
          
           $12,800.00"
keshi-baroque-strand-bracelet,Keshi-Baroque Strand Bracelet,"Paspaley Australian South Sea pearl elastic strand bracelet featuring fourteen 9-12mm keshi-baroque pearls, identified by the Paspaley Strand Signature, a brilliant cut diamond set seamlessly in the end pearl.The ultimate expression of femininity, this unique keshi-baroque strand shows a woman's individuality. A unique clasp mechanism enables you to instantaneously personalise this strand with any one of Paspaley's jewelled interchangeable clasps.",NA,NA,SBKQ0912001,"$5,780.00"
keshi-eternity-ring-white-gold,Keshi Eternity Ring,"Paspaley Australian South Sea pearl ring, featuring one 10mm baroque keshi pearl set in 750 white gold with twelve white diamonds, total 0.30 carats.An alluring combination of luminous keshi and glistening white diamonds create a design to be cherished for an eternity . Ring size 54, resize options available.",NA,NA,C11R10WKQ10,"$3,180.00"
keshi-eternity-ring-yellow-gold,Keshi Eternity Ring,"Paspaley Australian South Sea pearl ring, featuring one 10mm baroque keshi pearl set in 750 yellow gold with twelve white diamonds, total 0.30 carats.An alluring combination of luminous keshi and glistening white diamonds create a design to be cherished for an eternity . Ring size 54, resize options available.",NA,NA,C11R10YKQ10,"$3,180.00"
keshi-pearl-studs-10mm,Keshi Pearl Studs,Paspaley Australian South Sea pearl ear studs featuring two 10mm keshi pearls set in 750 yellow gold.The abstract shape of these Keshi pearls on their simple setting strikes the perfect balance between traditional and modern style.,NA,NA,C00E41YKQ10,"$1,980.00"
keshi-pearl-studs-7mm,Keshi Pearl Studs,Paspaley Australian South Sea pearl ear studs featuring two 7mm keshi pearls set in 750 yellow gold.The luminosity and unique shape of these petite keshi pearl studs accentuate their appeal as a casual accessory.,NA,NA,C00E40YKQ07,$980.00
kimberley-bracelet-10-11mm,Kimberley Bracelet,"Kimberley Bracelet with 10-11mm Circle Pearl and SandalwoodThe Kimberley bracelet a unisex sandalwood bracelet featuring one hand-selected Paspaley Australian South Sea pearl. 25% of the proceeds from each bracelet is donated to the cancer division at the Garvan Institute of Medical Research. Should you wish to nominate which type of cancer research your donation goes to, please contact our Personal Shopper.",NA,NA,CSRB01SPC11,$680.00
kimberley-bracelet-12mm,Kimberley Bracelet,"Kimberley Bracelet with two, 12mm Circle Pearls and OnyxThe Kimberley bracelet a unisex sandalwood bracelet featuring one hand-selected Paspaley Australian South Sea pearl and sand blasted onyx. 25% of the proceeds from each bracelet is donated to the cancer division at the Garvan Institute of Medical Research. Should you wish to nominate which type of cancer research your donation goes to, please contact our Personal Shopper.",NA,NA,CSRB02XPC12,"$1,480.00"
kimberley-bracelet-13mm,Kimberley Bracelet,"Kimberley Bracelet with one, 13mm Circle Pearl and SandalwoodThe Kimberley bracelet a unisex sandalwood bracelet featuring one hand-selected Paspaley Australian South Sea pearl. 25% of the proceeds from each bracelet is donated to the cancer division at the Garvan Institute of Medical Research. Should you wish to nominate which type of cancer research your donation goes to, please contact our Personal Shopper.",NA,NA,CSRB01SPC13,$980.00
kimberley-bracelet-australian-south-sea-pearl,Kimberley Bracelet,"Kimberley Bracelet with one, 13mm Baroque Australian South Sea PearlThe Kimberley bracelet a unisex sandalwood bracelet featuring a unique hand-selected Paspaley Australian South Sea pearl. 25% of the proceeds from each bracelet is donated to the cancer division at the Garvan Institute of Medical Research. Should you wish to nominate which type of cancer research your donation goes to, please contact our Personal Shopper.",NA,NA,CSRB10SPQ13,"$6,480.00"
kimberley-bracelet-triangle,Kimberley Bracelet,"Kimberley Bracelet with two, 12mm Triangle Pearls and OnyxThe Kimberley bracelet a unisex sandalwood bracelet featuring one hand-selected Paspaley Australian South Sea pearl and sand blasted onyx. 25% of the proceeds from each bracelet is donated to the cancer division at the Garvan Institute of Medical Research. Should you wish to nominate which type of cancer research your donation goes to, please contact our Personal Shopper.",NA,NA,CSRB02XPT12,"$1,980.00"
lavalier-bleu-earrings-round,Lavalier Bleu Earrings - Round,"Paspaley Australian South Sea pearl Lavalier Earrings featuring two loose 13mm round pearls in 750 white gold with thirty blue sapphire cabochons, total 1.88 carats and fourteen white diamonds, total 0.15 carats.
A nautically inspired design features alluring blue sapphire studded chain mesh that holds perfect round pearls. The mesh slides onto a diamond studded hoop which can also be worn alone.",NA,NA,DH14E22WR,"$13,960.00"
